open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote,ignore
2026-04-13 10:41:00,70827.38000000,70827.38000000,70792.69000000,70792.70000000,1.39504000,2026-04-13 10:41:59.999,98790.27470630,1136,0.29634000,20984.86686250,0
2026-04-13 10:42:00,70792.70000000,70809.39000000,70789.05000000,70789.06000000,2.59528000,2026-04-13 10:42:59.999,183745.84830740,1443,1.55013000,109745.77016890,0
2026-04-13 10:43:00,70789.06000000,70789.06000000,70759.02000000,70759.03000000,1.36012000,2026-04-13 10:43:59.999,96258.84940040,785,0.39967000,28284.95917720,0
2026-04-13 10:44:00,70759.03000000,70771.83000000,70759.02000000,70771.83000000,2.43850000,2026-04-13 10:44:59.999,172561.27320510,954,1.85445000,131230.29868820,0
2026-04-13 10:45:00,70771.83000000,70771.83000000,70750.00000000,70757.07000000,1.78373000,2026-04-13 10:45:59.999,126211.47035760,1083,0.42150000,29822.40029320,0
2026-04-13 10:46:00,70757.07000000,70793.28000000,70757.07000000,70768.16000000,3.31840000,2026-04-13 10:46:59.999,234851.76400620,1252,2.39299000,169355.73752890,0
2026-04-13 10:47:00,70768.15000000,70805.76000000,70768.15000000,70782.38000000,3.17923000,2026-04-13 10:47:59.999,225060.26263620,1643,1.66339000,117738.85753000,0
2026-04-13 10:48:00,70782.39000000,70794.82000000,70782.38000000,70794.81000000,2.06995000,2026-04-13 10:48:59.999,146532.34789330,474,1.35266000,95752.37616440,0
2026-04-13 10:49:00,70794.82000000,70794.82000000,70769.13000000,70769.13000000,1.91802000,2026-04-13 10:49:59.999,135750.58315430,1480,0.53886000,38135.92740190,0
2026-04-13 10:50:00,70769.13000000,70769.13000000,70761.01000000,70764.04000000,3.28609000,2026-04-13 10:50:59.999,232538.51404080,981,1.30954000,92666.76732450,0
2026-04-13 10:51:00,70764.03000000,70801.90000000,70764.03000000,70801.90000000,4.19667000,2026-04-13 10:51:59.999,297049.42014470,1182,1.33743000,94666.18667490,0
2026-04-13 10:52:00,70801.89000000,70801.90000000,70768.37000000,70768.37000000,1.54136000,2026-04-13 10:52:59.999,109106.42989390,992,0.51158000,36209.39584400,0
2026-04-13 10:53:00,70768.37000000,70768.38000000,70754.12000000,70754.12000000,1.38889000,2026-04-13 10:53:59.999,98284.96548540,420,0.83087000,58796.28152570,0
2026-04-13 10:54:00,70754.12000000,70754.13000000,70709.63000000,70722.13000000,4.68201000,2026-04-13 10:54:59.999,331164.52394250,1401,1.42423000,100720.56455310,0
2026-04-13 10:55:00,70722.13000000,70737.66000000,70722.13000000,70737.66000000,2.19103000,2026-04-13 10:55:59.999,154967.74143530,787,1.57065000,111084.99342850,0
2026-04-13 10:56:00,70737.66000000,70773.20000000,70732.22000000,70773.20000000,2.12204000,2026-04-13 10:56:59.999,150137.91027700,1410,1.73945000,123072.92308390,0
